ID;CIRCUIT;JOINT_E;JOINT_S;TOURNEE;POINTS;STAMP
37;19;39;40;2013_01_09 - WBPLY_DIJ_90113308  M1;*10-1146-54-1086-98-994-149-1043-201-1064-251-1261-301-1423-351-1824-401-1939-451-1816-502-1432-551-1286-601-1108-651-1116-701-1103-751-1278-801-1473-841-1900-881-2441;0
38;19;40;39;2010_07_30 - JNBOU_VIP_30071093  M1;*15-1003-57-1001-100-958-150-1072-200-1139-250-1400-300-1571-350-1780-400-1620-450-1446-500-1188-550-1132-600-1040-650-1116-701-1186-751-1482-802-1820-842-2331-883-2550;0
39;20;41;42;2010_12_06 - LNCLV_MTB_61210621  M1;*11-1130-51-1105-92-1022-142-1300-193-1444-244-1770-296-1419-344-1323-393-1102-444-1273-495-1316-544-2001-594-2068-644-1827-694-1317-744-1359-794-1283-830-1610-866-2009;0
40;20;42;41;2020_14299;*15-1059-55-1116-95-1053-145-1353-195-1420-245-1605-295-1323-344-1357-394-1186-445-1399-496-1422-544-1858-593-1808-644-1744-696-1358-746-1476-797-1409-836-1754-876-2038;17702365
41;21;43;44;2018_10_01 - L1PLY_NMS_11018775;*10-1371-40-1306-71-1182-121-1320-172-1335-221-1710-271-1916-321-1980-372-1537-421-1474-471-1274-521-1454-571-1532-597-1821-624-2123;737061
42;21;44;43;2010_12_09 - JNVGY_VIP_91210652  M2;*15-1269-43-1260-71-1218-121-1443-171-1488-220-1738-270-1622-320-1595-371-1331-420-1408-470-1380-520-1716-571-1871-598-2076-625-2106;0
43;22;45;46;2010_12_06 - LNCLV_MTB_61210621  M1;*11-2122-39-2059-68-1818-120-1611-173-1308-223-1326-273-1281-322-1501-372-1699-396-1983-421-2307;0
44;22;46;45;2019_09_03 - MBDIJ_BEU_30919596;*15-1820-43-1676-71-1503-120-1416-169-1260-219-1351-270-1371-322-1745-374-2001-401-2242-429-2351;737305
45;23;47;48;2010_12_06 - LNCLV_MTB_61210621  M1;*10-755-51-797-92-799-142-959-193-1033-243-1158-294-1027-344-971-394-832-444-868-494-847-544-1004-594-1093-644-1382-694-1357-744-1252-794-1001-844-970-894-886-944-1000-995-1074-1031-1318-1068-1581;0
46;23;48;47;2019_13747;*15-712-55-774-95-790-145-911-196-906-246-899-296-781-346-768-397-706-447-784-498-808-548-996-598-1038-648-1124-699-971-749-915-799-798-849-827-900-807-950-1000-1000-1114-1038-1329-1077-1435;17696504
47;24;49;50;2014_04_07 - L3PLY_BEB_40414289;*10-1208-51-1550-93-1817-143-2220-193-1641-243-1425-293-1132-343-1218-393-1258-431-1627-469-2140;0
48;24;50;49;2014_03_02 - SNMAR_CLV_20314169;*15-1628-54-1889-93-1899-143-2013-193-1634-243-1612-293-1420-343-1631-393-1704-433-2070-474-2372;0
49;25;51;52;2010_12_06 - LNCLV_MTB_61210621  M1;*10-769-33-799-56-792-106-949-157-977-207-1012-257-877-307-854-358-758-408-831-458-835-508-1022-558-1123-608-1279-658-1136-708-1053-758-890-808-907-859-867-908-1014-958-1133-977-1246-997-1392;0
50;25;52;51;2019_13675;*15-811-37-951-60-896-110-952-160-816-210-792-260-668-310-716-360-753-410-877-460-1043-510-1222-561-1093-611-1029-661-816-711-827-762-780-812-910-862-960-912-1260-962-1429-982-1431-1003-1471;17696006
51;26;53;54;2018_10_01 - L1PLY_NMS_11018775;*10-996-47-1067-84-1027-134-1102-185-957-235-999-285-915-335-1059-385-1078-417-1221-450-1318;737061
52;26;54;53;2017_11_04 - SNPIO_PLD_41117019;*16-1132-49-1108-83-963-133-918-183-763-233-829-283-823-333-1083-384-1255-419-1403-454-1328;736646
53;27;55;57;2018_12_03 - L1PLY_NMS_31218954;*10-2172-44-2247-79-1827-87-1754-*96-1539-98-1481-*101-1469-104-1609-*108-907-113-1044-*119-1461-122-1425-*125-1281-127-1301-*130-1534-133-1418-*137-1193-141-1353-*146-1482-149-1501-*152-1296-159-1323-*167-1438-172-1658-177-1687-226-1790-276-1682-326-1986-377-2125-405-2287-434-2476;737062
54;27;57;55;2010_07_30 - JNBOU_VIP_30071093  M1;*15-1812-45-1692-76-1506-126-1625-177-1575-226-1957-276-2153-278-1548-*280-1385-287-1681-*295-2085-297-1853-*300-1615-306-1813-*313-2138-315-1969-*318-1866-323-1989-*328-1610-333-1692-*339-1988-341-1893-*344-1881-359-2390-375-2642-407-2881-439-2570;0
55;28;58;59;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1569-44-1409-78-1265-129-1187-181-1066-231-1149-281-1176-330-1488-380-1684-430-1922-481-1917-530-1668-580-1349-630-1313-681-1209-731-1399-781-1494-811-1865-842-2176;0
56;28;59;58;2020_13946;*15-1355-48-1273-82-1136-132-1152-182-1083-232-1233-282-1307-331-1585-381-1704-431-1617-482-1519-532-1414-582-1210-632-1270-682-1275-732-1548-782-1774-816-2072-850-2353;17698521
57;29;60;61;2013_01_09 - WBPLY_DIJ_90113308  M1;*10-1645-47-1718-85-1485-135-1402-186-1156-236-1245-286-1221-336-1607-387-1881-437-2210-487-1706-537-1539-588-1257-637-1371-687-1413-720-1759-753-2196;0
58;29;61;60;2010_07_30 - JNBOU_VIP_30071093  M1;*16-1633-51-1600-86-1413-136-1443-186-1296-235-1466-285-1462-335-1761-386-1763-436-1912-487-1594-537-1617-588-1452-638-1672-688-1723-723-2033-759-2278;0
59;30;62;64;2010_07_26 - LNCLV_PVL_26071071  M2;*10-2277-32-2069-55-1732-76-1604-*97-1291-100-1317-*104-1430-107-987-*110-636-119-1014-*129-1294-131-1076-*133-1005-142-1068-*151-1178-154-1126-*157-921-159-967-162-980-167-1099-*172-1357-213-1476-255-1511-273-1738-291-2052;0
60;30;64;62;2019_01_11 - V1MAR_PLD_110119043;*15-1791-35-1801-55-1704-94-1915-*133-1797-136-1409-*139-1119-143-1290-148-1427-150-1400-*153-1185-162-1312-*172-1648-176-1443-*180-1282-188-1306-*197-1501-199-1349-*202-1306-229-1812-256-1743-276-1973-296-2140;737087
61;31;65;66;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1332-41-1368-73-1278-124-1228-175-1029-225-1032-275-964-325-1100-375-1163-425-1497-475-1634-525-1635-575-1326-625-1251-675-1089-725-1168-775-1180-825-1473-876-1715-925-2152-975-1906-1024-1653-1074-1300-1124-1271-1174-1187-1223-1373-1273-1550-1300-1887-1327-2264;0
62;31;66;65;2019_09_03 - MBDIJ_BEU_30919596;*15-1215-45-1142-75-1063-124-1068-174-967-224-1022-274-1006-324-1183-374-1253-423-1449-473-1380-523-1346-573-1149-623-1144-673-1074-723-1210-774-1287-823-1613-873-1732-923-1776-973-1468-1023-1377-1074-1202-1124-1300-1174-1331-1225-1708-1276-2013-1306-2289-1337-2366;737305
63;32;67;68;2018_10_01 - L1PLY_NMS_11018775;*10-1300-44-1201-78-1061-128-1170-178-1213-228-1673-278-2106-328-2140-378-1496-428-1370-479-1152-529-1290-579-1384-609-1746-639-2137;737061
64;32;68;67;2021_14882;*15-1398-46-1389-78-1313-127-1463-177-1484-227-1777-278-1767-328-1891-378-1582-428-1592-478-1429-528-1612-578-1670-611-1959-645-2201;17707738
65;33;69;70;2010_06_14 - L2TNR_NMS_140610553  M1;*10-1232-44-1182-78-976-128-886-178-735-228-802-277-824-307-981-337-1258;0
66;33;70;69;2010_07_30 - JNBOU_VIP_30071093  M1;*14-954-47-869-80-784-129-860-179-857-229-1102-279-1201-310-1313-341-1275;0
67;34;71;72;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1094-52-1238-95-1251-146-2105-197-2176-247-1876-297-1228-347-1269-397-1220-434-1563-472-2152;0
68;34;72;71;2010_05_04 - M3BRG_MAS_40510406  M1;*15-1352-54-1504-94-1482-144-1933-194-1827-244-1778-294-1421-345-1575-396-1528-436-1896-476-2180;0
69;35;73;74;2018_01_22 - L2PLY_NMS_220118205;*10-1149-33-1150-56-1129-107-1123-159-994-209-967-260-884-309-924-359-916-409-1039-459-1112-509-1312-559-1355-609-1386-659-1209-709-1138-759-1002-809-1001-859-967-909-1074-959-1140-1008-1398-1058-1579-1108-1805-1158-1615-1208-1449-1259-1193-1309-1136-1359-1050-1409-1115-1459-1163-1508-1412-1558-1666-1577-1908-1596-2125;736724
70;35;74;73;2010_07_30 - JNBOU_VIP_30071093  M1;*15-964-37-954-60-923-109-909-159-816-209-813-259-757-309-812-359-821-409-947-460-1028-509-1191-559-1191-609-1179-660-1004-710-965-760-867-809-898-859-901-909-1038-959-1141-1009-1405-1059-1540-1109-1572-1159-1309-1209-1183-1259-1005-1309-1002-1359-972-1409-1096-1459-1213-1510-1579-1562-1898-1582-2034-1602-2137;0
71;36;75;76;2018_01_22 - L2PLY_NMS_220118205;*10-1188-44-1244-78-1264-127-1718-177-2022-227-2014-277-1474-327-1367-378-1149-428-1325-478-1419-506-1751-534-2062;736724
72;36;76;75;2017_11_04 - SNPIO_PLD_41117019;*15-1292-46-1362-78-1345-125-1668-*172-1778-175-1723-178-1657-182-1615-*187-1777-233-1826-279-1494-329-1486-379-1317-429-1514-479-1581-511-1878-544-2147;736646
73;37;77;80;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1170-31-1256-52-1308-103-1691-155-1744-186-1683-*218-1434-220-932-*222-875-231-1012-*241-1256-245-952-*249-911-252-946-255-990-262-1031-*269-1207-272-970-*276-949-283-1010-*290-1060-293-759-*296-802-302-845-*308-994-311-845-*315-931-334-1103-353-1179-404-1358-455-1388-491-1693-*527-1713-530-1141-*534-1310-538-1413-*543-1304-550-1400-557-1168-564-1450-*571-1237-580-1606-589-2149;0
74;37;80;77;2018_12_18 - M2VAL_PLY_181218009;*15-696-27-1083-*39-915-46-1126-53-966-58-1148-*64-1329-66-1166-*69-1036-72-1100-*75-1143-77-1316-*80-1528-117-1905-154-1910-205-1764-257-1295-268-1218-*280-992-285-1060-*290-1152-293-816-*296-558-304-871-*313-803-323-966-*334-873-344-909-355-1017-370-932-*385-1272-420-1362-455-1394-506-1829-558-2043-576-2249-594-2274;737090
75;37;78;79;2012_03_10 - VNCLV_MAC_9031203  M1;*2-1044-10-1209-*18-1314-20-1352-*22-920-24-958-27-994-37-1103-*47-1290-50-994-*54-1038-60-1045-*67-1164-70-753-*74-774-79-800-*85-992-87-605-*89-749-96-1011-*104-1190-106-1058-*108-1036-120-1189-132-1212-183-1347-234-1323-269-1637-*304-1506-306-1259-*308-419-310-951-*312-1172-316-1356-*320-1245-325-1403-*330-1294-333-1069-336-1171-339-1295-*342-1533-344-1338-*346-1001-355-1252-365-1518;0
76;38;81;83;2018_10_01 - L1PLY_NMS_11018775;*10-1274-40-1454-70-1479-105-1893-*140-1677-143-1760-*147-1500-151-1046-*155-1476-158-1612-*162-1273-168-1662-174-1550-184-1616-*194-1601-201-1661-*209-2169-245-1959-281-1518-331-1374-382-1159-434-1313-486-1428-512-1751-538-2039;737061
77;38;83;81;2010_07_30 - JNBOU_VIP_30071093  M1;*15-1374-47-1361-80-1340-126-1554-173-1520-224-1730-275-1516-307-1621-*339-1627-342-1400-*345-907-353-1295-*362-1032-372-1269-382-1104-387-1198-*393-928-400-1054-*407-1172-446-1745-486-1746-513-2003-541-2189;0
78;39;84;85;2020_13982;*11-1164-50-1383-90-1469-141-1573-193-1298-243-1195-293-1021-343-1067-393-1070-442-1295-492-1486-542-1966-592-1864-642-1610-692-1249-742-1188-792-1078-842-1230-892-1338-928-1728-964-2119;17698813
79;39;85;84;2018_07_10 - M2MAR_PLY_100718587;*15-1380-53-1523-91-1475-140-1466-190-1246-240-1241-291-1124-340-1214-390-1251-440-1540-491-1703-540-1944-589-1712-639-1553-690-1293-739-1314-789-1271-841-1510-894-1729-930-2129-967-2410;736914
80;40;86;87;2018_01_22 - L2PLY_NMS_220118205;*10-997-31-991-52-980-101-1099-150-1195-200-1507-250-1736-301-1919-352-1616-401-1419-451-1155-501-1111-552-1031-602-1117-653-1191-703-1491-754-1869-770-2087-787-2257;736724
81;40;87;86;2017_11_04 - SNPIO_PLD_41117019;*15-1032-35-1041-56-1053-106-1232-157-1381-207-1681-257-1779-308-1735-359-1425-408-1295-458-1123-508-1127-559-1100-609-1257-660-1401-709-1822-758-2164-777-2324-796-2414;736646
82;41;88;89;2010_07_26 - LNCLV_PVL_26071071  M2;*10-1370-30-1337-50-1294-99-1577-149-1634-199-1889-249-1562-299-1592-350-1381-400-1666-451-1735-465-1924-479-2081;0
83;41;89;88;2010_05_04 - M3BRG_MAS_40510406  M1;*15-1387-32-1410-50-1370-100-1684-151-1543-201-1629-251-1353-302-1513-352-1448-401-1883-450-1916-468-2026-485-2106;0
84;42;90;91;2018_01_22 - L2PLY_NMS_220118205;*10-1144-47-1101-85-983-134-1073-183-1047-233-1316-283-1402-333-1540-384-1267-434-1196-484-1024-534-1150-585-1173-634-1600-684-1993-734-2139-785-1524-835-1361-885-1117-935-1233-986-1311-1018-1670-1050-2119;736724
85;42;91;90;2017_11_04 - SNPIO_PLD_41117019;*15-1165-49-1139-84-1049-134-1183-185-1187-235-1431-285-1459-335-1553-386-1315-435-1326-485-1187-536-1344-587-1341-636-1678-686-1802-736-1907-787-1563-837-1556-887-1379-936-1595-985-1666-1021-2025-1057-2241;736646
86;43;92;93;2020_13982;*10-1119-31-1151-53-1113-103-1319-153-1147-203-1199-254-1035-304-1201-354-1171-404-1486-455-1399-505-1511-555-1252-605-1329-656-1221-705-1536-755-1677-805-2036-856-1632-906-1575-956-1311-1004-1514-1053-1586-1070-1820-1088-2047;17698814
87;43;93;92;2018_07_10 - M2MAR_PLY_100718587;*15-1199-34-1184-54-1124-102-1290-151-1178-201-1335-251-1205-301-1391-352-1267-401-1478-450-1371-501-1541-552-1361-602-1516-652-1418-702-1720-752-1670-802-1845-853-1559-903-1689-954-1537-1004-1886-1054-1870-1072-2064-1091-2155;736914
88;44;94;95;2018_01_22 - L2PLY_NMS_220118205;*10-1634-35-1442-61-1296-111-1255-161-1137-211-1324-261-1420-310-1876-360-2013-410-1937-460-1528-510-1483-560-1332-610-1548-660-1670-679-1949-699-2124;736724
89;44;95;94;2017_11_04 - SNPIO_PLD_41117019;*15-1378-38-1293-61-1212-111-1299-161-1251-211-1495-261-1527-310-1725-360-1548-410-1557-460-1369-509-1446-559-1396-609-1740-660-1894-682-2107-705-2221;736646
90;45;96;97;2010_07_26 - LNCLV_PVL_26071071  M2;*10-2078-30-1959-50-1810-100-1781-150-1473-200-1661-250-1652-269-1884-289-2133;0
91;45;97;96;2018_07_10 - M2MAR_PLY_100718587;*15-1865-38-1708-61-1551-111-1647-161-1513-211-1894-262-1933-278-2106-294-2187;736914
92;46;99;98;2019_13666;*0-1345-34-1297-68-1259-116-1892-164-2018-216-1995-268-1349-317-1375-367-1278-397-1542-427-1844;17695864
93;47;100;101;2010_06_14 - L2TNR_NMS_140610553  M1;*10-2114-44-1922-79-1477-129-1405-179-1210-228-1379-278-1450-308-1783-337-2146;0
94;47;101;100;2017_11_04 - SNPIO_PLD_41117019;*16-1798-47-1662-79-1458-129-1494-179-1375-229-1641-280-1769-311-2095-343-2315;736656
95;48;102;103;2020_13982;*10-1347-39-1268-68-1122-122-1069-177-999-226-1076-276-1127-326-1380-376-1605-426-2041-476-2005-525-1735-575-1360-625-1231-675-1090-725-1118-775-1132-824-1335-874-1568-906-1954-939-2363;17698814
96;48;103;102;2017_11_04 - SNPIO_PLD_41117019;*15-1165-49-1083-84-972-133-968-183-927-232-1038-282-1108-332-1388-382-1563-432-1736-482-1527-532-1354-582-1114-632-1076-682-1010-731-1095-781-1174-831-1513-881-1887-912-2304-943-2550;736646
97;49;104;105;2010_07_26 - LNCLV_PVL_26071071  M2;*10-996-48-990-86-936-137-1061-189-1115-239-1377-289-1441-339-1469-389-1231-438-1182-488-1044-538-1117-588-1123-638-1395-688-1592-738-1966-788-1770-838-1573-888-1265-937-1241-987-1156-1037-1343-1088-1515-1122-1897-1156-2353;0
98;49;105;104;2019_07_30 - M1BRG_PLY_300719513;*15-985-52-1009-89-985-139-1153-189-1219-239-1451-289-1399-339-1363-389-1154-438-1146-488-1055-538-1181-588-1230-638-1531-688-1660-738-1821-788-1548-838-1445-888-1234-937-1292-987-1269-1039-1551-1091-1779-1126-2136-1162-2241;737270
99;50;106;107;2012_03_10 - VNCLV_MAC_9031203  M1;*10-1215-43-1447-77-1619-124-2308-*172-1950-175-1778-*179-1510-185-1515-*191-1623-193-1088-196-680-203-1151-*211-1536-213-1289-*216-1141-223-1400-*231-1656-233-1433-*236-1119-245-1349-*254-1507-257-1145-*260-1010-271-1091-283-1110;0
100;50;106;108;2018_10_01 - L1PLY_NMS_11018775;*10-1085-43-1427-77-1517-128-2416-179-1828-184-1643-*190-1725-193-1838-*196-1215-203-1145-*210-1569-212-1644-*215-1378-222-1387-*230-1645-233-1698-*236-1304-244-1348-*253-1531-255-1599-*258-1330-269-1193-281-1441-332-1449-383-1200-434-1374-486-1470-512-1766-539-2218;737061
101;50;108;106;2017_11_04 - SNPIO_PLD_41117019;*15-1250-43-1286-72-1257-124-1639-176-1840-221-1995-*266-1645-268-1235-*270-1005-273-1057-277-1130-285-1283-*294-1461-296-1308-*298-1074-307-1212-*317-1406-319-1329-*321-1174-329-1252-*337-1333-339-1208-*342-912-349-1007-*356-1154-358-1128-*361-975-370-1289-379-1274-430-1746-481-1768-512-2087-543-2214;736646
102;51;109;110;2018_12_03 - L1PLY_NMS_31218954;*10-926-32-999-54-985-105-1022-156-943-206-902-256-789-306-787-356-759-405-817-455-858-505-1026-556-1134-605-1272-655-1196-705-1102-755-958-805-901-855-838-905-880-955-943-1005-1154-1055-1359-1074-1532-1093-1687;737062
103;51;110;109;2017_11_04 - SNPIO_PLD_41117019;*15-1005-35-977-56-940-106-881-156-753-206-728-256-670-305-712-355-731-405-867-455-969-505-1185-555-1209-605-1152-655-942-705-849-755-750-805-764-855-756-905-882-955-981-1006-1281-1058-1515-1077-1616-1097-1681;736646
104;52;111;112;2017_06_12 - LBPLD_RES_120617656;*10-1003-46-1016-82-973-132-1063-182-1066-232-1195-282-1218-332-1330-382-1246-432-1271-482-1141-532-1138-582-1062-631-1123-681-1138-731-1296-781-1364-831-1523-882-1564-932-1577-982-1382-1031-1332-1081-1204-1131-1242-1181-1257-1231-1385-1281-1456-1331-1773-1381-1914-1431-2165-1481-1993-1531-1817-1581-1522-1631-1454-1681-1336-1731-1420-1781-1474-1831-1833-1882-2173-1916-2570-1951-2887;736508
105;52;112;111;2021_14828;*13-1058-47-1054-82-1010-132-1099-182-1122-231-1292-281-1370-331-1518-381-1452-431-1402-481-1231-530-1205-580-1116-630-1185-680-1209-729-1403-779-1542-829-1765-879-1804-928-1827-978-1609-1028-1512-1078-1344-1128-1359-1178-1328-1227-1485-1277-1591-1326-1926-1376-2111-1426-2283-1476-2040-1526-1843-1576-1549-1625-1498-1675-1399-1725-1517-1775-1622-1826-2027-1877-2439-1912-2823-1947-2981;17707648
106;53;113;114;2021_14823;*10-1040-40-1014-70-975-119-1014-169-916-219-939-269-881-319-966-369-973-419-1124-469-1142-519-1233-569-1119-619-1113-669-997-718-1049-768-1020-818-1181-868-1245-918-1448-968-1414-1018-1402-1068-1198-1118-1191-1168-1056-1218-1176-1268-1252-1318-1528-1369-1653-1419-1772-1470-1523-1520-1420-1570-1216-1620-1263-1670-1251-1720-1503-1770-1680-1819-2067-1869-1990-1919-1871-1969-1494-2019-1432-2070-1306-2119-1456-2169-1567-2219-2045-2270-2523-2299-2645-2329-2579;17707618
